iucn_sid,iucn_rgn,years,cat_ts,scores,pop_trend_desc,calc_trend
22698226,global,"1994, 2000, 2004, 2008, 2009, 2012, 2016, 2018","LC, LC, LC, LC, LC, LC, LC, LC","0, 0, 0, 0, 0, 0, 0, 0",unknown,0
22698230,global,"2000, 2004, 2008, 2010, 2012, 2015, 2016, 2018","LC, LC, NT, NT, VU, VU, VU, VU","0, 0, 0.2, 0.2, 0.4, 0.4, 0.4, 0.4",decreasing,0.02706
22698235,global,"1994, 1996, 2000, 2004, 2006, 2007, 2008, 2009, 2010, 2012, 2013, 2015, 2016, 2018","VU, VU, CR, CR, CR, CR, CR, CR, CR, CR, CR, CR, CR, CR","0.4, 0.4, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8",decreasing,0.0149
22698246,global,"1994, 1996, 2000, 2004, 2005, 2008, 2010, 2012, 2016","VU, VU, VU, NT, NT, NT, NT, NT, NT","0.4, 0.4, 0.4, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2",unknown,-0.01157
22698249,global,"1994, 2000, 2004, 2008, 2009, 2012, 2016, 2018","LC, LC, LC, LC, LC, LC, LC, LC","0, 0, 0, 0, 0, 0, 0, 0",decreasing,0
22698252,global,"1994, 1996, 2000, 2004, 2006, 2007, 2008, 2010, 2012, 2016, 2018","EN, EN, EN, EN, EN, EN, EN, EN, EN, EN, EN","0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6",stable,0
22698267,global,"1994, 2000, 2004, 2014, 2016, 2017, 2018","LC, NT, NT, LC, LC, LC, LC","0, 0.2, 0.2, 0, 0, 0, 0",decreasing,-0.00509
22698272,global,"1994, 2000, 2004, 2014, 2016, 2018","LC, LC, LC, EN, EN, EN","0, 0, 0, 0.6, 0.6, 0.6",decreasing,0.03156
22698277,global,"1994, 1996, 2000, 2004, 2005, 2008, 2010, 2012, 2013, 2016, 2018","EN, EN, VU, VU, VU, VU, VU, VU, VU, VU, VU","0.6, 0.6, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4",stable,-0.00762
22698280,global,"1994, 1996, 2000, 2004, 2005, 2007, 2008, 2010, 2012, 2016, 2018","EN, EN, EN, EN, EN, EN, EN, EN, EN, EN, EN","0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6",decreasing,0
22698288,global,"1994, 2000, 2004, 2008, 2009, 2012, 2016, 2018","LC, LC, LC, LC, LC, LC, LC, LC","0, 0, 0, 0, 0, 0, 0, 0",decreasing,0
22698293,global,"1994, 2000, 2004, 2008, 2009, 2012, 2016, 2018","LC, LC, LC, LC, LC, LC, LC, LC","0, 0, 0, 0, 0, 0, 0, 0",decreasing,0
22698300,global,"1994, 2000, 2004, 2008, 2009, 2012, 2016, 2018","LC, LC, LC, LC, LC, LC, LC, LC","0, 0, 0, 0, 0, 0, 0, 0",decreasing,0
22698305,global,"1996, 2000, 2003, 2004, 2005, 2007, 2008, 2010, 2012, 2016, 2017, 2018","VU, VU, VU, VU, VU, VU, VU, VU, VU, VU, VU, VU","0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4",decreasing,-0
22698310,global,"1994, 1996, 2000, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2012, 2013, 2015, 2016, 2017, 2018","CR, CR, CR, CR, CR, CR, CR, CR, CR, CR, CR, CR, CR, CR, CR, CR, EN","0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.6",increasing,-0.00255
22698314,global,"2000, 2003, 2004, 2005, 2007, 2008, 2010, 2012, 2016, 2018","VU, VU, VU, VU, VU, VU, VU, VU, VU, VU","0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4",stable,0
22698320,global,"1994, 2000, 2003, 2004, 2005, 2007, 2008, 2009, 2010, 2012, 2013, 2014, 2015, 2016, 2018","NT, VU, VU, VU, VU, CR, CR, CR, CR, CR, CR, CR, CR, CR, CR","0.2, 0.4, 0.4, 0.4, 0.4, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8",decreasing,0.0292
22698335,global,"1994, 2000, 2003, 2004, 2005, 2006, 2008, 2010, 2012, 2015, 2016, 2018","EN, VU, VU, VU, VU, VU, VU, VU, VU, VU, VU, VU","0.6, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4",increasing,-0.00499
22698350,global,"1994, 2000, 2003, 2004, 2005, 2008, 2010, 2012, 2013, 2014, 2016, 2017, 2018","LC, VU, EN, EN, EN, EN, EN, VU, NT, NT, NT, NT, NT","0, 0.4, 0.6, 0.6, 0.6, 0.6, 0.6, 0.4, 0.2, 0.2, 0.2, 0.2, 0.2",increasing,-0.00588
